Frequenz;MEMS_Z_2;MEMS_C_2;MEMS_A_2;MEMS_Z;MEMS_C;MEMS_A;MEMS_A_3;Faktor_C;Faktor_A;Offset;Kurve_C;Kurve_A
0;0;0;0;69.5;69.5;69.5;0;0;0;80;0;0
10;0;0;0;69.6;69.7;69.7;0;14.3;70.4;80;65.7;9.6
20;0;0;0;69.7;69.8;69.8;0;6.2;50.4;80;73.8;29.6
30;0;0;0;70;69.5;69.5;0;3.3;40.6;80;76.7;39.4
40;0;0;0;70.2;69;69;0;2;34.5;80;78;45.5
50;69.2;67.9;62;70.6;69.3;69.5;38.9;1.3;30.3;80;78.7;49.7
60;73.5;72.6;67.1;71.3;70.4;69.7;46.5;0.9;27;80;79.1;53
70;77.3;76.6;67.3;74.1;73.4;69.8;52.8;0.7;24.5;80;79.3;55.5
80;82.4;81.9;67.4;78.7;78.2;69.5;60;0.5;22.4;80;79.5;57.6
90;84;83.6;67.3;77.8;77.4;69;63.4;0.4;20.6;80;79.6;59.4
100;81.3;81;67.9;78.3;78;69.5;62.2;0.3;19.1;80;79.7;60.9
200;73.9;73.9;67.7;77.6;77.6;69.3;63.1;0;10.8;80;80;69.2
300;74.6;74.6;67.5;76.4;76.4;69.3;67.5;0;7.1;80;80;72.9
400;74.8;74.8;70;76.3;76.3;71.5;70;0;4.8;80;80;75.2
500;75.2;75.2;72;76.6;76.6;73.4;72;0;3.2;80;80;76.8
600;78.8;78.8;76.6;77.7;77.7;75.5;76.6;0;2.2;80;80;77.8
700;79.2;79.2;77.8;79.4;79.4;78;77.8;0;1.4;80;80;78.6
800;80.1;80.1;79.3;79.3;79.3;78.5;79.3;0;0.8;80;80;79.2
900;80;80;79.7;79.8;79.8;79.5;79.7;0;0.3;80;80;79.7
1000;78.8;78.8;78.8;79.5;79.6;79.5;78.8;0;0;80;80;80
2000;79.7;79.5;80.9;82.6;82.4;83.8;80.9;0.2;-1.2;80;79.8;81.2
3000;72;71.5;73.2;79.7;79.2;80.9;73.2;0.5;-1.2;80;79.5;81.2
4000;70;69.2;71;79.3;78.5;80.3;71;0.8;-1;80;79.2;81
5000;79.5;78.2;80.1;79.3;78;79.9;80.1;1.3;-0.6;80;78.7;80.6
6000;76.1;74.3;76.2;80.4;78.6;80.5;76.2;1.8;-0.1;80;78.2;80.1
7000;77.3;74.9;76.8;81.4;79;80.9;76.8;2.4;0.5;80;77.6;79.5
8000;71.6;68.6;70.5;75;72;73.9;70.5;3;1.1;80;77;78.9
9000;70.6;66.9;68.8;73.3;69.6;71.5;68.8;3.7;1.8;80;76.3;78.2
10000;72.4;68;69.9;72.9;69;70.4;69.9;4.4;2.5;80;75.6;77.5
11000;72.2;67.1;69;73;69.1;69.8;69;5.1;3.2;80;74.9;76.8
12000;66.2;60.4;66.2;72;69.3;68.1;62.3;5.8;3.9;80;74.2;76.1
13000;69.8;63.3;66.3;72.6;69.2;68;65.2;6.5;4.6;80;73.5;75.4
14000;72.6;65.4;67.3;70.8;69.7;68.4;67.3;7.2;5.3;80;72.8;74.7
15000;67.3;59.4;67.3;72.6;69.1;68.8;61.3;7.9;6;80;72.1;74
16000;66.8;58.2;67.3;71.3;69.3;68.3;60.1;8.6;6.7;80;71.4;73.3
17000;68.2;58.9;66.9;71.4;69.2;68.4;60.8;9.3;7.4;80;70.7;72.6
18000;67.2;57.2;67.2;72.8;69.7;69.5;59.1;10;8.1;80;70;71.9
19000;69.1;58.5;68.5;74.2;69.1;70.1;60.4;10.6;8.7;80;69.4;71.3
20000;72.1;60.8;68.2;74.5;69.3;70;62.8;11.3;9.3;80;68.7;70.7
