Frequenz;MEMS_2;Referenz_Z_2;Referenz_C_2;Referenz_A_2;MEMS;Referenz_Z;Referenz_C;Referenz_A
0;0;0;0;0;69.5;36.2;33.1;20.8
10;0;0;0;0;69.6;35.2;33.3;28.4
20;0;0;0;0;69.7;41.9;37.6;28.6
30;0;0;0;0;70;57.7;55.5;33.3
40;0;0;0;0;70.2;66;64;33.3
50;69.2;69.3;68;39.7;70.6;68.1;66.8;38.4
60;73.5;73.3;72.3;46.3;71.3;72.9;72;46
70;77.3;77.9;77.3;53.5;74.1;78.3;77.7;53.9
80;82.4;83.4;82.9;61;78.7;84.2;83.7;61.8
90;84;84.5;84.2;63.9;77.8;84.4;84;63.8
100;81.3;82.1;81.1;63;78.3;81.5;81.2;62.3
200;73.9;73.9;73.8;63;77.6;74.7;74.7;63.9
300;74.6;74.1;74;67;76.4;74.6;74.6;67.5
400;74.8;74.5;74.5;69.7;76.3;75.6;75.8;70.9
500;75.2;75.5;75.5;72.2;76.6;76.8;76.6;73.4
600;78.8;78.6;78.6;76.4;77.7;78.7;78.8;76.6
700;79.2;78.3;78.3;76.9;79.4;80.8;80.8;79.4
800;80.1;80.1;80.2;79.3;79.3;79.5;79.5;78.7
900;80;79.7;79.7;79.4;79.8;80.6;80.6;80.2
1000;78.8;77.8;77.8;77.8;79.5;78.7;78.7;78.7
2000;79.7;78.5;78.3;79.8;82.6;82.8;82.6;83.9
3000;72;69.4;69;70.5;79.7;73.3;72.7;74.4
4000;70;51.8;50.3;51.9;79.3;72.7;71.9;73.7
5000;79.5;72.1;70.9;72.7;79.3;70.9;69.6;71.5
6000;76.1;68.9;67.1;69;80.4;74.6;72.8;74.7
7000;77.3;69;66.6;68.4;81.4;70.4;68.1;70
8000;71.6;61.8;58.8;60.6;75;71;67.9;69.9
9000;70.6;60.7;57;58.9;73.3;66.1;62.5;64.4
10000;72.4;63.5;59.1;61;72.9;66.5;61.9;63.8
11000;72.2;64.9;59.8;61.6;73;61.5;56.2;58
12000;66.2;60.5;54.6;56.6;72;64.8;58.9;60.9
13000;69.8;62.9;56.3;58.1;72.6;65;58.3;60.2
14000;72.6;63.6;56.2;58.2;70.8;60.7;53.3;55.2
15000;67.3;62.6;54.5;56.3;72.6;67.9;59.9;61.8
16000;66.8;59.1;50.4;52.2;71.3;65.5;56.8;58.7
17000;68.2;59.9;50.6;52.3;71.4;66.9;57.5;59.4
18000;67.2;61.1;51.3;53.1;72.8;67.1;57.2;59.1
19000;69.1;60.7;50.4;52.2;74.2;66.1;55.7;57.6
20000;72.1;64.2;53.4;55.3;74.5;70.4;59.6;61.5
