Frequenz;MEMS;Referenz
0;72.2;32.5
10;58.1;34.4
20;66.4;42.1
30;69.3;58.3
40;71;65.9
50;71.8;68.2
60;73.8;72.9
70;77.3;78.4
80;79.5;84.7
90;78.6;84.7
100;73.6;81.6
200;72;75
300;73.6;75.3
400;76.7;76.2
500;79.5;77
600;80.9;79.2
700;81.5;80.1
800;81.7;79.9
900;82;80
1000;82.3;78.3
1500;83.4;81.3
2000;85.3;80.8
2500;78.9;71.6
3000;79.7;71.7
;;
4000;76.2;68.7
;;
5000;79.1;67.6
;;
6000;79.5;71.3
;;
7000;75.1;64.7
;;
8000;72.3;64.3
;;
9000;72.9;67.6
;;
10000;71.5;69.7
;;
11000;71.7;65
;;
12000;68.8;59.2
;;
13000;68;65.6
;;
14000;66.6;65
;;
15000;65.8;60.3
;;
16000;65.2;64.3
;;
17000;64.3;65.8
;;
18000;63.6;64.1
;;
19000;64;67.8
;;
20000;63;72
