Frequenz;MEMS;Referenz
500;59;57.5
1000;59;59.6
1500;59.3;65.3
2000;59.2;63.8
2500;59.1;56
3000;59;56.9
3500;59.2;56.2
4000;59.3;56.3
4500;58.9;56.1
5000;59.1;57.6
5500;59.2;55.4
6000;59.2;60
6500;58.9;57.8
7000;58.8;55.2
7500;59.2;54.6
8000;59;52.8
8500;58.8;55.3
9000;58.9;56.3
9500;59;52.9
10000;58.8;51.8
10500;59;52.2
11000;58.9;51.2
11500;58.8;49.9
12000;58.6;51.8
12500;58.9;53.6
13000;59.1;53.9
13500;59.3;56.3
14000;59.4;55.4
14500;59;52
15000;59.1;53.6
15500;59.1;51.5
16000;58.7;53
16500;58.6;52.3
17000;59.1;52.9
17500;58.7;53.6
18000;59;53.1
18500;59.3;53.4
19000;59.2;55.2
19500;58.8;55
20000;59.3;58.2
