Sample;usb;batterie;usb_batterie
1;193044;191506;192023
2;193066;191485;191908
3;193256;191521;191957
4;193114;191393;191873
5;193114;191455;191936
6;193074;191410;191917
7;193061;191409;192012
8;193043;191349;191981
9;193071;191413;192006
10;193097;191426;191871
11;193017;191518;191803
12;192969;191403;191815
13;193019;191386;191952
14;193070;191411;191923
15;192989;191375;191954
16;193037;191413;191917
17;193026;191480;191988
18;192998;191408;191932
19;192973;191347;191934
20;192918;191429;191848
21;192936;191299;191859
22;192997;191418;191919
23;192997;191381;191839
24;192970;191401;191898
25;193017;191499;191845
26;192997;191464;191879
27;193076;191413;191938
28;193215;191403;191966
29;193164;191380;191918
30;193163;191346;191740
31;193106;191443;191699
32;193124;191462;191757
33;193056;191367;191739
34;193086;191379;191833
35;193026;191413;191869
36;193105;191461;191778
37;193075;191439;191810
38;193123;191537;191914
39;193116;191414;191923
40;193177;191454;191978
41;193160;191413;191940
42;193111;191461;191859
43;193060;191404;191976
44;193014;191359;192052
45;193088;191345;192033
46;192974;191338;192125
47;193011;191382;192019
48;193039;191281;192104
49;193090;191400;192101
50;193098;191377;192061
51;193126;191409;192129
52;193121;191510;192098
53;193158;191470;192097
54;193051;191405;192166
55;193010;191400;192114
56;193069;191465;192140
57;193127;191482;192121
58;193070;191408;191998
59;193069;191482;191982
60;192923;191423;191920
61;192944;191483;191931
62;192987;191495;191937
63;192928;191553;191990
64;192957;191449;191982
65;192963;191548;191988
66;193149;191401;192014
67;193208;191379;192015
68;193109;191535;191994
69;193088;191575;192052
70;193142;191447;192195
71;193095;191553;192195
72;193066;191519;192147
73;193073;191479;192155
74;193096;191552;192148
75;192952;191497;192179
76;193020;191381;192196
77;193011;191513;192252
78;193117;191519;192283
79;193134;191464;192215
80;193123;191592;192231
81;193226;191684;192299
82;193306;191681;192392
83;193295;191588;192287
84;193439;191556;192293
85;193310;191552;192249
86;193310;191664;192246
87;193555;191658;192213
88;193522;191596;192142
89;193555;191777;192231
90;193643;191720;192381
91;193478;191667;192320
92;193640;191732;192393
93;193536;191723;192377
94;193560;191805;192311
95;193521;191738;192371
96;193566;191726;192352
97;193478;191761;192401
98;193415;191794;192356
99;193405;191776;192483
100;193553;191724;192417
101;193509;191836;192378
102;193569;191872;192407
103;193553;191731;192401
104;193506;191732;192441
105;193452;191827;192383
106;193524;191777;192454
107;193520;191740;192493
108;193579;191701;192535
109;193531;191713;192532
110;193697;191835;192593
111;193738;191812;192660
112;193782;191802;192711
113;193744;191871;192714
114;193716;191772;192747
115;193709;191809;192721
116;193664;191736;192673
117;193709;191920;192674
118;193750;191903;192815
119;193648;191945;192708
120;193604;191940;192751
121;193738;191953;192612
122;193643;191983;192599
123;193725;192047;192585
124;193660;192113;192742
125;193589;192001;192815
126;193555;192067;192814
127;193643;192051;192719
128;193637;192015;192821
129;193642;192140;192842
130;193664;192097;192901
131;193696;192087;192880
132;193750;192026;192759
133;193795;192009;192755
134;193865;192081;192893
135;193973;192101;192814
136;193986;192057;192866
137;194099;192097;192896
138;194016;192160;193008
139;194146;192068;192945
140;194125;192134;192975
141;194186;192140;192993
142;194245;192066;192989
143;194284;192186;192936
144;194141;192165;192958
145;194287;192158;192966
146;194167;192186;193026
147;194280;192188;193003
148;194195;192007;193042
149;194198;191980;193193
150;194163;192153;193176
151;194298;192288;193200
152;194179;192073;193249
153;194268;192146;193212
154;194245;192040;193248
155;194232;192175;193159
156;194152;192111;193162
157;194179;192265;193278
158;194288;192217;193133
159;194197;192303;193130
160;194341;192397;193255
161;194331;192347;193241
162;194346;192392;193185
163;194239;192400;193329
164;194494;192376;193417
165;194371;192432;193470
166;194447;192420;193340
167;194456;192396;193460
168;194508;192358;193418
169;194591;192456;193350
170;194473;192406;193446
171;194561;192378;193562
172;194554;192376;193486
173;194693;192487;193475
174;194658;192477;193472
175;194695;192560;193573
176;194649;192530;193552
177;194687;192550;193705
178;194734;192548;193748
179;194622;192681;193783
180;194720;192596;193809
181;194683;192715;193717
182;194734;192715;193825
183;194744;192691;193871
184;194809;192598;193828
185;194851;192577;193839
186;194803;192577;193777
187;194834;192611;193874
188;194884;192654;193822
189;194832;192709;193744
190;194747;192731;193840
191;194854;192817;193823
192;194945;192974;193843
193;194963;192922;193945
194;195004;192912;193875
195;194968;192971;193894
196;195088;192937;193942
197;195063;192905;194124
198;195082;192898;194106
199;195138;192944;194059
200;195201;192963;194041
201;195070;193047;194123
202;195155;193037;194292
203;195281;193054;194317
204;195158;192995;194334
205;195160;193065;194257
206;195253;193158;194317
207;195292;193050;194406
208;195275;193051;194427
209;195263;193099;194355
210;195386;193128;194346
211;195351;193090;194359
212;195331;193121;194312
213;195376;193209;194334
214;195364;193203;194377
215;195288;193223;194471
216;195286;193212;194490
217;195369;193306;194518
218;195477;193377;194682
219;195501;193419;194618
220;195421;193424;194765
221;195677;193391;194522
222;195547;193372;194594
223;195579;193301;194555
224;195539;193408;194599
225;195522;193412;194579
226;195558;193459;194631
227;195620;193375;194662
228;195688;193445;194709
229;195594;193513;194641
230;195643;193499;194674
231;195656;193444;194753
232;195643;193477;194807
233;195733;193500;194848
234;195712;193643;194722
235;195776;193632;194696
236;195761;193576;194730
237;195862;193632;194759
238;195871;193533;194847
239;195964;193589;195023
240;195871;193644;195092
241;195833;193623;194976
242;195855;193693;195077
243;195712;193689;194980
244;195836;193701;194966
245;195834;193760;195113
246;195887;193738;195116
247;195864;193764;195107
248;195837;193689;195120
249;195915;193689;195121
250;195845;193777;195123
251;195911;193867;195278
252;195951;193861;195265
253;196046;193787;195344
254;196081;193848;195334
255;196142;193915;195384
