Sample;20ms_raw;freilaufend_raw;Mittelwert_20ms;Mittelwert_freilaufend;20ms;freilaufend
1;208117;187944;213254.6729;187665.6733;-5137.672852;278.3266602
2;208198;187841;213254.6729;187665.6733;-5056.672852;175.3266602
3;208307;187959;213254.6729;187665.6733;-4947.672852;293.3266602
4;208288;188034;213254.6729;187665.6733;-4966.672852;368.3266602
5;208315;188080;213254.6729;187665.6733;-4939.672852;414.3266602
6;208309;188011;213254.6729;187665.6733;-4945.672852;345.3266602
7;208419;188053;213254.6729;187665.6733;-4835.672852;387.3266602
8;208456;187988;213254.6729;187665.6733;-4798.672852;322.3266602
9;208483;187839;213254.6729;187665.6733;-4771.672852;173.3266602
10;208444;187892;213254.6729;187665.6733;-4810.672852;226.3266602
11;208490;187902;213254.6729;187665.6733;-4764.672852;236.3266602
12;208515;187814;213254.6729;187665.6733;-4739.672852;148.3266602
13;208543;187843;213254.6729;187665.6733;-4711.672852;177.3266602
14;208541;187834;213254.6729;187665.6733;-4713.672852;168.3266602
15;208694;187871;213254.6729;187665.6733;-4560.672852;205.3266602
16;208623;187853;213254.6729;187665.6733;-4631.672852;187.3266602
17;208581;187971;213254.6729;187665.6733;-4673.672852;305.3266602
18;208715;187936;213254.6729;187665.6733;-4539.672852;270.3266602
19;208702;187909;213254.6729;187665.6733;-4552.672852;243.3266602
20;208625;187896;213254.6729;187665.6733;-4629.672852;230.3266602
21;208698;187953;213254.6729;187665.6733;-4556.672852;287.3266602
22;208725;187913;213254.6729;187665.6733;-4529.672852;247.3266602
23;208813;187933;213254.6729;187665.6733;-4441.672852;267.3266602
24;208768;187950;213254.6729;187665.6733;-4486.672852;284.3266602
25;208740;188024;213254.6729;187665.6733;-4514.672852;358.3266602
26;208786;187987;213254.6729;187665.6733;-4468.672852;321.3266602
27;208749;188082;213254.6729;187665.6733;-4505.672852;416.3266602
28;208757;188005;213254.6729;187665.6733;-4497.672852;339.3266602
29;208774;187950;213254.6729;187665.6733;-4480.672852;284.3266602
30;208724;188029;213254.6729;187665.6733;-4530.672852;363.3266602
31;208778;187928;213254.6729;187665.6733;-4476.672852;262.3266602
32;208848;187894;213254.6729;187665.6733;-4406.672852;228.3266602
33;208832;187928;213254.6729;187665.6733;-4422.672852;262.3266602
34;208818;187945;213254.6729;187665.6733;-4436.672852;279.3266602
35;208925;188032;213254.6729;187665.6733;-4329.672852;366.3266602
36;208951;188020;213254.6729;187665.6733;-4303.672852;354.3266602
37;208899;187951;213254.6729;187665.6733;-4355.672852;285.3266602
38;209079;187941;213254.6729;187665.6733;-4175.672852;275.3266602
39;208995;187978;213254.6729;187665.6733;-4259.672852;312.3266602
40;208979;187970;213254.6729;187665.6733;-4275.672852;304.3266602
41;209104;187979;213254.6729;187665.6733;-4150.672852;313.3266602
42;209146;187980;213254.6729;187665.6733;-4108.672852;314.3266602
43;208956;188041;213254.6729;187665.6733;-4298.672852;375.3266602
44;209090;188073;213254.6729;187665.6733;-4164.672852;407.3266602
45;208957;188073;213254.6729;187665.6733;-4297.672852;407.3266602
46;209039;187858;213254.6729;187665.6733;-4215.672852;192.3266602
47;209006;187915;213254.6729;187665.6733;-4248.672852;249.3266602
48;209152;187964;213254.6729;187665.6733;-4102.672852;298.3266602
49;209089;188008;213254.6729;187665.6733;-4165.672852;342.3266602
50;209154;188079;213254.6729;187665.6733;-4100.672852;413.3266602
51;209142;187936;213254.6729;187665.6733;-4112.672852;270.3266602
52;209247;187940;213254.6729;187665.6733;-4007.672852;274.3266602
53;209252;187936;213254.6729;187665.6733;-4002.672852;270.3266602
54;209285;188126;213254.6729;187665.6733;-3969.672852;460.3266602
55;209225;188013;213254.6729;187665.6733;-4029.672852;347.3266602
56;209164;187912;213254.6729;187665.6733;-4090.672852;246.3266602
57;209258;187938;213254.6729;187665.6733;-3996.672852;272.3266602
58;209302;187963;213254.6729;187665.6733;-3952.672852;297.3266602
59;209300;187969;213254.6729;187665.6733;-3954.672852;303.3266602
60;209296;188026;213254.6729;187665.6733;-3958.672852;360.3266602
61;209239;187977;213254.6729;187665.6733;-4015.672852;311.3266602
62;209362;187918;213254.6729;187665.6733;-3892.672852;252.3266602
63;209388;188015;213254.6729;187665.6733;-3866.672852;349.3266602
64;209241;187947;213254.6729;187665.6733;-4013.672852;281.3266602
65;209363;187979;213254.6729;187665.6733;-3891.672852;313.3266602
66;209401;187908;213254.6729;187665.6733;-3853.672852;242.3266602
67;209323;187915;213254.6729;187665.6733;-3931.672852;249.3266602
68;209394;188044;213254.6729;187665.6733;-3860.672852;378.3266602
69;209445;188077;213254.6729;187665.6733;-3809.672852;411.3266602
70;209532;188157;213254.6729;187665.6733;-3722.672852;491.3266602
71;209401;187963;213254.6729;187665.6733;-3853.672852;297.3266602
72;209531;187974;213254.6729;187665.6733;-3723.672852;308.3266602
73;209557;187878;213254.6729;187665.6733;-3697.672852;212.3266602
74;209582;187904;213254.6729;187665.6733;-3672.672852;238.3266602
75;209558;187967;213254.6729;187665.6733;-3696.672852;301.3266602
76;209575;187921;213254.6729;187665.6733;-3679.672852;255.3266602
77;209556;187929;213254.6729;187665.6733;-3698.672852;263.3266602
78;209583;187946;213254.6729;187665.6733;-3671.672852;280.3266602
79;209536;187887;213254.6729;187665.6733;-3718.672852;221.3266602
80;209747;187822;213254.6729;187665.6733;-3507.672852;156.3266602
81;209814;187830;213254.6729;187665.6733;-3440.672852;164.3266602
82;209778;187786;213254.6729;187665.6733;-3476.672852;120.3266602
83;209903;187872;213254.6729;187665.6733;-3351.672852;206.3266602
84;209827;187899;213254.6729;187665.6733;-3427.672852;233.3266602
85;209844;187954;213254.6729;187665.6733;-3410.672852;288.3266602
86;209859;187974;213254.6729;187665.6733;-3395.672852;308.3266602
87;209872;187973;213254.6729;187665.6733;-3382.672852;307.3266602
88;209828;187929;213254.6729;187665.6733;-3426.672852;263.3266602
89;209907;187831;213254.6729;187665.6733;-3347.672852;165.3266602
90;209757;187871;213254.6729;187665.6733;-3497.672852;205.3266602
91;209764;187809;213254.6729;187665.6733;-3490.672852;143.3266602
92;209792;187801;213254.6729;187665.6733;-3462.672852;135.3266602
93;209820;187846;213254.6729;187665.6733;-3434.672852;180.3266602
94;209914;187805;213254.6729;187665.6733;-3340.672852;139.3266602
95;209867;187688;213254.6729;187665.6733;-3387.672852;22.32666016
96;209922;187778;213254.6729;187665.6733;-3332.672852;112.3266602
97;210045;187786;213254.6729;187665.6733;-3209.672852;120.3266602
98;210076;187817;213254.6729;187665.6733;-3178.672852;151.3266602
99;210034;187987;213254.6729;187665.6733;-3220.672852;321.3266602
100;210046;187915;213254.6729;187665.6733;-3208.672852;249.3266602
101;209919;187751;213254.6729;187665.6733;-3335.672852;85.32666016
102;209996;187849;213254.6729;187665.6733;-3258.672852;183.3266602
103;209966;187831;213254.6729;187665.6733;-3288.672852;165.3266602
104;210078;187778;213254.6729;187665.6733;-3176.672852;112.3266602
105;210009;187750;213254.6729;187665.6733;-3245.672852;84.32666016
106;210004;187693;213254.6729;187665.6733;-3250.672852;27.32666016
107;210011;187752;213254.6729;187665.6733;-3243.672852;86.32666016
108;210086;187807;213254.6729;187665.6733;-3168.672852;141.3266602
109;209974;187732;213254.6729;187665.6733;-3280.672852;66.32666016
110;209971;187726;213254.6729;187665.6733;-3283.672852;60.32666016
111;210017;187717;213254.6729;187665.6733;-3237.672852;51.32666016
112;210117;187727;213254.6729;187665.6733;-3137.672852;61.32666016
113;210035;187763;213254.6729;187665.6733;-3219.672852;97.32666016
114;210170;187689;213254.6729;187665.6733;-3084.672852;23.32666016
115;210229;187753;213254.6729;187665.6733;-3025.672852;87.32666016
116;210189;187789;213254.6729;187665.6733;-3065.672852;123.3266602
117;210277;187728;213254.6729;187665.6733;-2977.672852;62.32666016
118;210142;187804;213254.6729;187665.6733;-3112.672852;138.3266602
119;210230;187790;213254.6729;187665.6733;-3024.672852;124.3266602
120;210188;187668;213254.6729;187665.6733;-3066.672852;2.326660156
121;210204;187708;213254.6729;187665.6733;-3050.672852;42.32666016
122;210174;187790;213254.6729;187665.6733;-3080.672852;124.3266602
123;210253;187782;213254.6729;187665.6733;-3001.672852;116.3266602
124;210332;187811;213254.6729;187665.6733;-2922.672852;145.3266602
125;210190;187769;213254.6729;187665.6733;-3064.672852;103.3266602
126;210215;187756;213254.6729;187665.6733;-3039.672852;90.32666016
127;210283;187818;213254.6729;187665.6733;-2971.672852;152.3266602
128;210351;187822;213254.6729;187665.6733;-2903.672852;156.3266602
129;210379;187887;213254.6729;187665.6733;-2875.672852;221.3266602
130;210332;187780;213254.6729;187665.6733;-2922.672852;114.3266602
131;210335;187828;213254.6729;187665.6733;-2919.672852;162.3266602
132;210430;187852;213254.6729;187665.6733;-2824.672852;186.3266602
133;210372;187893;213254.6729;187665.6733;-2882.672852;227.3266602
134;210446;187726;213254.6729;187665.6733;-2808.672852;60.32666016
135;210458;187667;213254.6729;187665.6733;-2796.672852;1.326660156
136;210579;187611;213254.6729;187665.6733;-2675.672852;-54.67333984
137;210546;187714;213254.6729;187665.6733;-2708.672852;48.32666016
138;210508;187694;213254.6729;187665.6733;-2746.672852;28.32666016
139;210591;187728;213254.6729;187665.6733;-2663.672852;62.32666016
140;210549;187610;213254.6729;187665.6733;-2705.672852;-55.67333984
141;210529;187758;213254.6729;187665.6733;-2725.672852;92.32666016
142;210496;187734;213254.6729;187665.6733;-2758.672852;68.32666016
143;210564;187814;213254.6729;187665.6733;-2690.672852;148.3266602
144;210521;187767;213254.6729;187665.6733;-2733.672852;101.3266602
