Frequenz;dB;dB2
1;-120;120
41.07815631;-55.45239774;55.45239774
81.15631263;-43.57914399;43.57914399
121.2344689;-36.42118593;36.42118593
161.3126253;-30.99900529;30.99900529
201.3907816;-26.31213137;26.31213137
241.4689379;-21.96636161;21.96636161
281.5470942;-17.85390718;17.85390718
321.6252505;-13.97808468;13.97808468
361.7034068;-10.3566383;10.3566383
401.7815631;-6.991801388;6.991801388
441.8597194;-3.871155705;3.871155705
481.9378758;-0.974708927;0.974708927
522.0160321;-1.719760057;1.719760057
562.0941884;-4.233831288;4.233831288
602.1723447;-6.587206003;6.587206003
642.250501;-8.797335656;8.797335656
682.3286573;-10.87945715;10.87945715
722.4068136;-12.84679367;12.84679367
762.4849699;-14.71080507;14.71080507
802.5631263;-16.48143551;16.48143551
842.6412826;-18.16733764;18.16733764
882.7194389;-19.77606714;19.77606714
922.7975952;-21.31424795;21.31424795
962.8757515;-22.78771112;22.78771112
1002.953908;-24.20161102;24.20161102
1043.032064;-25.56052235;25.56052235
1083.11022;-26.8685214;26.8685214
1123.188377;-28.12925407;28.12925407
1163.266533;-29.3459931;29.3459931
1203.344689;-30.52168644;30.52168644
1243.422846;-31.65899817;31.65899817
1283.501002;-32.76034327;32.76034327
1323.579158;-33.82791744;33.82791744
1363.657315;-34.86372255;34.86372255
1403.735471;-35.86958861;35.86958861
1443.813627;-36.84719273;36.84719273
1483.891784;-37.79807558;37.79807558
1523.96994;-38.7236557;38.7236557
1564.048096;-39.62524199;39.62524199
1604.126253;-40.50404467;40.50404467
1644.204409;-41.36118495;41.36118495
1684.282565;-42.19770345;42.19770345
1724.360721;-43.01456777;43.01456777
1764.438878;-43.8126791;43.8126791
1804.517034;-44.59287817;44.59287817
1844.59519;-45.35595051;45.35595051
1884.673347;-46.10263117;46.10263117
1924.751503;-46.83360895;46.83360895
1964.829659;-47.54953019;47.54953019
2004.907816;-48.25100218;48.25100218
2044.985972;-48.93859623;48.93859623
2085.064128;-49.61285046;49.61285046
2125.142285;-50.27427234;50.27427234
2165.220441;-50.92334091;50.92334091
2205.298597;-51.56050895;51.56050895
2245.376754;-52.18620477;52.18620477
2285.45491;-52.80083401;52.80083401
2325.533066;-53.40478117;53.40478117
2365.611222;-53.99841108;53.99841108
2405.689379;-54.58207019;54.58207019
2445.767535;-55.15608781;55.15608781
2485.845691;-55.72077721;55.72077721
2525.923848;-56.27643663;56.27643663
2566.002004;-56.82335024;56.82335024
2606.08016;-57.36178902;57.36178902
2646.158317;-57.89201156;57.89201156
2686.236473;-58.41426478;58.41426478
2726.314629;-58.92878463;58.92878463
2766.392786;-59.43579677;59.43579677
2806.470942;-59.9355171;59.9355171
